               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092839,            0.026101,            0.035571,            0.016351,               0.656,             0.11708,            0.032091,            0.034643,            0.011659,            0.014535,              0.0775,              0.0025,              0.0025
                   1,            0.061682,            0.021094,            0.027597,             0.65426,             0.34959,             0.36848,             0.16268,            0.025113,           0.0070108,           0.0098888,            0.054087,           0.0050874,           0.0050874
                   2,             0.05801,            0.016201,            0.020683,              0.6028,             0.38211,             0.31553,            0.088562,            0.040696,           0.0054425,            0.006962,            0.030662,           0.0076619,           0.0076619
                   3,            0.049175,            0.014726,            0.019027,             0.32385,             0.66413,              0.5735,             0.36595,            0.035076,           0.0046427,           0.0063149,           0.0099258,           0.0099258,           0.0099258
                   4,            0.050457,            0.012951,            0.016092,             0.57062,             0.13008,             0.10432,            0.052092,            0.039803,            0.010301,              0.0653,           0.0099258,           0.0099258,           0.0099258
                   5,            0.049388,            0.012376,           0.0088919,             0.60083,             0.71358,             0.64279,             0.35979,            0.020827,           0.0058568,             0.01161,            0.009901,            0.009901,            0.009901
                   6,            0.044834,            0.011477,           0.0090832,               0.684,             0.68343,             0.71402,             0.46352,            0.019277,           0.0053167,           0.0016114,           0.0098763,           0.0098763,           0.0098763
                   7,            0.040842,            0.011853,            0.011546,             0.60674,             0.59932,             0.61818,             0.32506,             0.02449,           0.0057766,            0.021483,           0.0098515,           0.0098515,           0.0098515
                   8,             0.04394,            0.011793,           0.0096512,             0.74536,             0.92396,             0.80167,             0.56723,            0.015129,           0.0035609,           0.0013072,           0.0098268,           0.0098268,           0.0098268
                   9,            0.041363,            0.011609,            0.010674,             0.74507,             0.91311,               0.789,             0.57836,            0.014507,             0.00422,          0.00075338,            0.009802,            0.009802,            0.009802
                  10,            0.038393,            0.011677,           0.0090312,             0.76434,              0.9248,             0.81801,             0.50537,            0.015999,           0.0040295,           0.0014019,           0.0097773,           0.0097773,           0.0097773
                  11,            0.036862,            0.010813,           0.0071279,             0.70335,             0.89298,             0.80771,             0.58004,            0.013497,           0.0050945,          0.00068057,           0.0097525,           0.0097525,           0.0097525
                  12,             0.03807,            0.010477,           0.0075259,             0.59209,             0.70319,             0.74145,             0.54243,            0.014733,           0.0051298,           0.0018785,           0.0097278,           0.0097278,           0.0097278
                  13,            0.037645,            0.011011,            0.010282,             0.76223,             0.91191,             0.80655,             0.62684,            0.017077,           0.0036812,          0.00096688,            0.009703,            0.009703,            0.009703
                  14,            0.040085,            0.010808,           0.0083827,             0.75297,               0.875,             0.81647,              0.6486,            0.011028,            0.003166,          0.00081925,           0.0096783,           0.0096783,           0.0096783
                  15,            0.035649,           0.0097953,           0.0058949,             0.68351,             0.91753,             0.78338,             0.60037,            0.013999,           0.0033584,           0.0020391,           0.0096535,           0.0096535,           0.0096535
                  16,             0.03473,            0.010418,           0.0061979,             0.71173,              0.9375,             0.81088,             0.67732,            0.011313,           0.0030949,          0.00051556,           0.0096288,           0.0096288,           0.0096288
                  17,            0.034499,           0.0099107,           0.0056022,             0.79623,             0.89583,             0.83022,             0.64742,            0.011405,           0.0029355,           0.0003839,            0.009604,            0.009604,            0.009604
                  18,            0.034398,            0.010089,           0.0065713,             0.69458,              0.9651,             0.81278,             0.65566,            0.010839,           0.0032856,           0.0006433,           0.0095793,           0.0095793,           0.0095793
                  19,            0.034073,            0.010253,           0.0076466,              0.6825,                   1,             0.81653,             0.63825,            0.010721,           0.0036266,          0.00035845,           0.0095545,           0.0095545,           0.0095545
                  20,            0.033796,           0.0097836,            0.007951,             0.52383,             0.56098,             0.57821,             0.43495,            0.016299,           0.0060797,            0.003265,           0.0095298,           0.0095298,           0.0095298
                  21,            0.030464,           0.0096796,           0.0073886,             0.80751,                   1,             0.82296,             0.68997,            0.012539,           0.0027817,          0.00040394,            0.009505,            0.009505,            0.009505
                  22,            0.031825,           0.0097976,           0.0064303,             0.77588,              0.9375,             0.81525,             0.68441,           0.0094226,           0.0024945,          0.00043559,           0.0094803,           0.0094803,           0.0094803
                  23,            0.031605,           0.0094689,           0.0058331,             0.77463,                   1,             0.81066,              0.6815,            0.011736,           0.0026807,          0.00050747,           0.0094555,           0.0094555,           0.0094555
                  24,            0.031785,           0.0095441,           0.0078338,             0.77665,             0.92937,             0.79739,             0.65007,            0.012199,           0.0028652,          0.00038438,           0.0094307,           0.0094307,           0.0094307
                  25,            0.029168,           0.0089896,           0.0048361,             0.78778,             0.92575,             0.85728,             0.71015,            0.010646,           0.0023236,          0.00032544,            0.009406,            0.009406,            0.009406
                  26,            0.031769,           0.0089648,           0.0042726,             0.77813,                   1,             0.80217,             0.68591,           0.0089043,            0.002481,          0.00030302,           0.0093813,           0.0093813,           0.0093813
                  27,            0.029448,            0.009304,           0.0052256,             0.78031,             0.96875,             0.81084,             0.63428,            0.012858,            0.002985,           0.0011825,           0.0093565,           0.0093565,           0.0093565
                  28,            0.029679,           0.0088102,           0.0051576,             0.77293,             0.97514,             0.79467,             0.67979,            0.010971,           0.0024058,          0.00093269,           0.0093317,           0.0093317,           0.0093317
                  29,            0.030182,           0.0091737,           0.0056971,             0.76955,                   1,             0.81079,             0.64429,            0.010164,           0.0022316,          0.00027568,            0.009307,            0.009307,            0.009307
                  30,            0.029148,           0.0089642,           0.0037229,             0.78911,             0.97917,             0.81952,             0.70205,           0.0088037,           0.0022016,          0.00028138,           0.0092823,           0.0092823,           0.0092823
                  31,            0.030674,            0.009081,           0.0053176,             0.78034,             0.95833,             0.82697,             0.69126,           0.0089515,           0.0024662,          0.00056069,           0.0092575,           0.0092575,           0.0092575
                  32,            0.029766,           0.0093312,           0.0062354,             0.77692,                   1,             0.83683,             0.73038,           0.0095423,           0.0027138,          0.00039761,           0.0092327,           0.0092327,           0.0092327
                  33,            0.027729,           0.0092392,           0.0059787,             0.78913,             0.95833,             0.83767,             0.74325,           0.0072077,           0.0022255,          0.00031714,            0.009208,            0.009208,            0.009208
                  34,            0.026764,           0.0089605,           0.0056503,             0.75307,             0.83219,             0.79347,             0.64095,            0.010488,           0.0028825,          0.00076075,           0.0091833,           0.0091833,           0.0091833
                  35,            0.031335,           0.0092333,           0.0061725,             0.77064,             0.97917,              0.7992,              0.7068,           0.0081081,            0.002238,          0.00042797,           0.0091585,           0.0091585,           0.0091585
                  36,            0.028252,           0.0088841,           0.0029024,             0.77591,                   1,             0.80017,             0.71224,           0.0085568,           0.0021423,           0.0004578,           0.0091337,           0.0091337,           0.0091337
                  37,             0.02788,           0.0087198,           0.0053441,             0.80277,             0.92099,              0.8067,             0.67339,            0.010984,           0.0028883,          0.00087376,            0.009109,            0.009109,            0.009109
                  38,            0.028187,           0.0087853,           0.0046655,             0.78333,             0.89583,             0.85222,             0.72205,           0.0089361,           0.0023584,           0.0004087,           0.0090843,           0.0090843,           0.0090843
                  39,            0.027509,           0.0086748,           0.0043331,             0.76367,             0.98931,             0.81569,             0.67781,            0.009104,           0.0024514,           0.0002694,           0.0090595,           0.0090595,           0.0090595
