               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11886,            0.028658,            0.042167,          0.00057368,             0.17778,          0.00038976,          5.6643e-05,            0.060188,            0.020311,            0.033911,              0.0937,              0.0007,              0.0007
                   1,            0.088454,            0.028045,            0.037865,           0.0021517,             0.52222,            0.017054,           0.0040237,            0.046361,            0.017835,            0.031421,            0.086485,           0.0014851,           0.0014851
                   2,            0.086732,            0.028087,            0.041397,           0.0031415,             0.78333,            0.020814,           0.0056971,            0.039643,            0.017159,            0.029895,            0.079254,           0.0022545,           0.0022545
                   3,            0.069609,            0.027022,            0.035081,            0.003463,             0.86667,            0.062516,            0.017976,             0.04118,            0.015226,            0.028223,            0.072008,           0.0030079,           0.0030079
                   4,            0.066363,            0.026536,            0.038479,           0.0042382,                   1,             0.12134,            0.040784,            0.031711,            0.014228,            0.029053,            0.064746,           0.0037456,           0.0037456
                   5,            0.050907,             0.02618,            0.035923,            0.012881,                   1,             0.28756,             0.12102,            0.040915,             0.01229,            0.028625,            0.057467,           0.0044673,           0.0044673
                   6,            0.050531,            0.021378,             0.03472,             0.10674,             0.91667,             0.29554,            0.094551,            0.040399,            0.010858,            0.028357,            0.050173,           0.0051733,           0.0051733
                   7,            0.048086,            0.022747,            0.033265,             0.10813,             0.28177,             0.22297,             0.03754,            0.044873,           0.0098021,            0.027332,            0.042863,           0.0058634,           0.0058634
                   8,            0.051169,            0.020994,            0.039222,              0.3869,             0.37303,             0.30952,             0.13591,            0.040869,           0.0093808,            0.025391,            0.035538,           0.0065377,           0.0065377
                   9,            0.050939,            0.021606,            0.037237,             0.17624,             0.32463,             0.25291,             0.11707,            0.032944,           0.0090904,             0.02381,            0.028196,           0.0071961,           0.0071961
                  10,            0.053735,            0.019813,             0.03785,             0.22311,              0.7848,             0.21794,             0.07274,            0.041203,           0.0071507,            0.020697,            0.020839,           0.0078387,           0.0078387
                  11,            0.058396,            0.020242,             0.03657,             0.33713,             0.71985,             0.57674,             0.22313,            0.031097,           0.0073853,            0.019843,            0.013465,           0.0084655,           0.0084655
                  12,            0.054322,            0.020366,            0.036024,             0.32795,             0.51863,             0.50762,              0.1774,            0.037403,           0.0061295,            0.019836,            0.008812,            0.008812,            0.008812
                  13,            0.053099,            0.018955,            0.033284,             0.58714,             0.66579,               0.666,             0.28604,            0.027765,           0.0073328,            0.019977,            0.008812,            0.008812,            0.008812
