               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1079,            0.027995,            0.039107,           0.0010305,                 0.4,           0.0014038,          0.00019995,            0.054336,              0.0198,            0.033154,              0.0937,              0.0007,              0.0007
                   1,               0.101,             0.02758,            0.045362,           0.0047275,                   1,             0.01095,            0.002472,            0.040099,            0.017797,             0.03125,             0.08645,           0.0014505,           0.0014505
                   2,            0.081253,             0.02763,            0.039534,           0.0040046,             0.93333,            0.086826,            0.014025,            0.038745,            0.016503,            0.029797,            0.079148,           0.0021482,           0.0021482
                   3,            0.072123,            0.028003,            0.039146,           0.0044752,                   1,            0.051441,            0.019374,            0.034104,            0.015305,            0.027722,            0.071793,           0.0027931,           0.0027931
                   4,             0.06613,            0.026565,            0.037578,           0.0040343,                   1,            0.071287,            0.018816,            0.033102,            0.014425,            0.026379,            0.064385,           0.0033852,           0.0033852
                   5,            0.059601,            0.025594,            0.037507,           0.0040642,                   1,             0.22004,            0.075127,            0.037849,            0.013107,            0.026477,            0.056925,           0.0039245,           0.0039245
                   6,             0.05443,            0.023575,            0.036015,             0.11588,                 0.6,             0.35924,             0.14666,            0.037607,            0.012149,            0.026013,            0.049411,            0.004411,            0.004411
                   7,            0.054773,            0.022099,            0.039788,             0.23253,              0.5847,             0.34451,             0.15929,             0.04512,            0.010751,            0.025525,            0.041845,           0.0048447,           0.0048447
                   8,             0.05492,            0.021527,              0.0385,             0.20717,              0.4578,             0.38153,             0.11922,            0.029636,            0.010509,            0.023962,            0.034226,           0.0052256,           0.0052256
                   9,            0.047926,            0.021544,            0.031232,             0.17586,             0.52689,             0.39383,             0.11158,             0.04165,           0.0089092,            0.024408,            0.026554,           0.0055537,           0.0055537
                  10,            0.056311,            0.018647,            0.035021,             0.33875,             0.42896,              0.3333,            0.074781,            0.033677,           0.0089724,            0.025427,            0.018829,            0.005829,            0.005829
                  11,            0.053811,            0.020768,            0.033962,            0.067616,             0.62778,             0.19308,            0.058574,            0.038157,           0.0085468,            0.024323,            0.011052,           0.0060515,           0.0060515
                  12,            0.054501,            0.019692,            0.031017,            0.060695,             0.51667,             0.30314,              0.1188,            0.032914,           0.0087333,            0.026135,             0.00604,             0.00604,             0.00604
                  13,             0.04018,            0.019225,            0.026207,             0.31316,             0.31371,             0.35809,             0.12279,             0.03141,           0.0079854,            0.024463,             0.00604,             0.00604,             0.00604
                  14,            0.052352,            0.019537,            0.028822,             0.37015,             0.50401,             0.43031,             0.16435,            0.029523,           0.0068848,            0.022791,             0.00571,             0.00571,             0.00571
                  15,            0.047964,            0.019673,            0.028213,              0.5973,             0.53333,             0.53255,              0.3014,            0.024039,           0.0067387,             0.02179,             0.00538,             0.00538,             0.00538
                  16,            0.039128,            0.016484,             0.02453,             0.20555,                0.45,             0.51294,             0.26577,            0.025061,           0.0071356,            0.018616,             0.00505,             0.00505,             0.00505
                  17,             0.04129,            0.016265,            0.024313,             0.70217,                0.45,             0.54865,             0.33946,            0.023552,           0.0066388,            0.016217,             0.00472,             0.00472,             0.00472
                  18,             0.03503,            0.016371,            0.023507,             0.31552,             0.58333,             0.59045,             0.25978,            0.022537,           0.0060482,             0.01377,             0.00439,             0.00439,             0.00439
                  19,             0.04286,            0.017719,            0.024031,             0.52208,             0.67222,             0.67952,             0.38756,            0.022372,           0.0064182,            0.015845,             0.00406,             0.00406,             0.00406
                  20,            0.036065,            0.015583,            0.022835,             0.66224,             0.78687,             0.88389,             0.45379,             0.01938,           0.0058603,            0.011725,             0.00373,             0.00373,             0.00373
                  21,            0.037605,            0.015683,            0.022932,             0.61029,             0.73889,             0.85009,             0.46931,            0.020661,           0.0053983,            0.010541,              0.0034,              0.0034,              0.0034
                  22,            0.038151,             0.01508,            0.025169,             0.82892,              0.8937,             0.95333,             0.52662,            0.019539,           0.0050364,           0.0088043,             0.00307,             0.00307,             0.00307
                  23,            0.037518,            0.014786,            0.023692,             0.91122,             0.82037,             0.95929,              0.5522,            0.017581,           0.0048862,           0.0076782,             0.00274,             0.00274,             0.00274
                  24,            0.034445,            0.014474,            0.017316,             0.84462,             0.90392,             0.96722,              0.5799,            0.017502,           0.0046988,           0.0069901,             0.00241,             0.00241,             0.00241
                  25,            0.042414,            0.012954,            0.024119,             0.89007,             0.91885,             0.97833,              0.5674,            0.018633,           0.0046296,           0.0066162,             0.00208,             0.00208,             0.00208
                  26,            0.031669,             0.01467,            0.020412,             0.90017,             0.99451,             0.97833,             0.62187,             0.01642,           0.0046911,           0.0064117,             0.00175,             0.00175,             0.00175
                  27,            0.029287,            0.014046,            0.015329,             0.92279,             0.99444,               0.995,             0.61201,             0.01616,           0.0046782,           0.0059128,             0.00142,             0.00142,             0.00142
                  28,            0.032725,            0.014656,            0.019674,             0.92545,                   1,               0.995,             0.61209,            0.015944,           0.0046191,           0.0055321,             0.00109,             0.00109,             0.00109
                  29,            0.031647,            0.014222,            0.020524,             0.92194,              0.9706,               0.995,             0.63849,            0.015848,           0.0046277,           0.0052254,             0.00076,             0.00076,             0.00076
