               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1079,            0.027995,            0.039107,           0.0010305,                 0.4,           0.0014038,          0.00019995,            0.054336,              0.0198,            0.033154,              0.0937,              0.0007,              0.0007
                   1,             0.10083,            0.027589,            0.045388,           0.0046501,                   1,            0.011668,            0.003043,            0.039652,            0.017832,            0.030957,            0.086485,           0.0014851,           0.0014851
                   2,            0.080564,            0.027652,            0.039045,            0.004039,             0.93333,            0.044502,            0.013771,            0.038273,             0.01619,            0.029358,            0.079254,           0.0022545,           0.0022545
                   3,            0.071876,            0.027893,            0.039021,           0.0044792,                   1,            0.087152,            0.026452,            0.033799,            0.014797,            0.027698,            0.072008,           0.0030079,           0.0030079
                   4,             0.06456,            0.026402,            0.036949,           0.0045618,                   1,              0.1403,            0.045424,            0.038378,            0.013666,            0.026331,            0.064746,           0.0037456,           0.0037456
                   5,            0.059818,            0.024914,            0.037451,             0.05747,             0.25892,             0.16151,            0.066852,            0.032535,            0.013029,            0.028027,            0.057467,           0.0044673,           0.0044673
                   6,            0.054836,            0.022382,            0.035303,            0.044099,             0.66667,             0.27903,             0.10894,            0.035969,            0.012203,            0.026013,            0.050173,           0.0051733,           0.0051733
                   7,            0.052085,            0.021286,            0.037099,            0.056162,             0.77778,             0.27259,              0.1211,            0.039682,            0.010821,            0.023969,            0.042863,           0.0058634,           0.0058634
                   8,            0.059218,            0.020395,            0.036359,             0.17058,             0.46667,             0.30143,             0.13129,            0.028997,            0.010188,            0.024304,            0.035538,           0.0065377,           0.0065377
                   9,            0.043154,            0.022075,            0.031671,             0.16637,             0.65556,             0.34831,            0.077729,            0.029635,           0.0098455,            0.023523,            0.028196,           0.0071961,           0.0071961
                  10,            0.050146,            0.019567,            0.035146,             0.13664,                 0.6,             0.26093,            0.097546,            0.033495,            0.010025,            0.021643,            0.020839,           0.0078387,           0.0078387
                  11,            0.050549,             0.02105,            0.034176,             0.28599,             0.34444,             0.34075,            0.074694,            0.032993,           0.0083981,             0.02207,            0.013465,           0.0084655,           0.0084655
                  12,            0.059973,            0.018356,            0.029182,             0.30224,             0.31667,             0.34182,             0.12124,             0.02997,            0.007535,            0.022089,            0.008812,            0.008812,            0.008812
                  13,            0.045972,            0.018114,            0.024028,             0.55153,             0.45556,             0.68203,             0.25614,            0.026186,           0.0076971,            0.024091,            0.008812,            0.008812,            0.008812
                  14,            0.051531,            0.019424,            0.026968,             0.44113,                 0.7,             0.70621,             0.26757,            0.023038,           0.0072737,            0.020612,            0.008713,            0.008713,            0.008713
                  15,            0.050801,            0.018639,            0.027781,             0.53625,                 0.8,              0.7523,             0.25215,            0.029147,            0.007206,            0.017139,            0.008614,            0.008614,            0.008614
                  16,             0.04069,            0.015847,            0.023263,             0.63709,              0.9058,             0.84361,             0.26376,            0.033632,           0.0063505,            0.014655,            0.008515,            0.008515,            0.008515
                  17,            0.044404,            0.015552,            0.023888,             0.52848,             0.78151,             0.85333,              0.3455,            0.029753,           0.0057068,            0.014093,            0.008416,            0.008416,            0.008416
                  18,            0.041832,            0.015673,            0.020185,             0.73758,              0.7064,             0.85734,             0.39193,            0.020183,           0.0064545,            0.012347,            0.008317,            0.008317,            0.008317
                  19,            0.045247,            0.017204,            0.022021,              0.7136,             0.81933,             0.89361,             0.34382,            0.021862,           0.0072889,            0.011792,            0.008218,            0.008218,            0.008218
                  20,             0.04011,            0.014481,             0.02203,             0.65932,             0.86667,             0.92333,             0.40869,            0.025587,           0.0062232,           0.0097839,            0.008119,            0.008119,            0.008119
                  21,            0.047052,            0.015227,            0.021647,             0.56234,             0.73326,             0.86861,             0.44857,            0.026953,           0.0057125,           0.0089294,             0.00802,             0.00802,             0.00802
                  22,            0.043335,            0.014747,            0.020608,             0.76643,             0.74369,             0.89898,             0.35532,            0.025938,           0.0054922,           0.0082153,            0.007921,            0.007921,            0.007921
                  23,            0.044389,            0.014029,             0.01866,             0.89741,             0.91156,             0.96537,             0.43302,             0.02298,            0.005722,           0.0076828,            0.007822,            0.007822,            0.007822
                  24,             0.04256,            0.013486,            0.012995,             0.69827,             0.85057,               0.852,             0.39475,            0.025268,           0.0052748,           0.0065567,            0.007723,            0.007723,            0.007723
                  25,            0.047331,            0.012011,            0.022245,             0.76512,              0.9735,               0.995,             0.51871,            0.021606,           0.0055466,           0.0055641,            0.007624,            0.007624,            0.007624
                  26,             0.04334,            0.013724,            0.017049,             0.84165,             0.96711,               0.951,             0.54716,            0.025169,           0.0058575,           0.0045708,            0.007525,            0.007525,            0.007525
                  27,            0.036464,             0.01337,            0.012932,             0.48297,             0.79694,             0.67569,             0.28762,            0.028408,           0.0060282,           0.0043777,            0.007426,            0.007426,            0.007426
                  28,             0.04092,            0.013717,            0.014456,             0.70283,             0.84013,             0.88204,             0.36836,            0.023278,           0.0064278,           0.0046967,            0.007327,            0.007327,            0.007327
                  29,            0.037572,            0.012968,            0.015937,             0.58986,             0.68182,             0.64102,             0.28877,            0.026061,            0.006587,           0.0044552,            0.007228,            0.007228,            0.007228
                  30,            0.038074,             0.01358,            0.013414,             0.74117,             0.76606,             0.85133,             0.41043,            0.035107,           0.0055599,           0.0034843,            0.007129,            0.007129,            0.007129
                  31,            0.039238,            0.013352,             0.01187,              0.8112,             0.88757,             0.91194,             0.46591,            0.024178,           0.0049162,           0.0030632,             0.00703,             0.00703,             0.00703
                  32,            0.036107,             0.01275,           0.0092202,             0.82014,             0.98227,             0.91433,              0.4765,            0.020296,            0.004374,           0.0028793,            0.006931,            0.006931,            0.006931
                  33,            0.044347,            0.012245,            0.012941,             0.88692,             0.97446,             0.97595,             0.51771,            0.025504,           0.0044565,           0.0031868,            0.006832,            0.006832,            0.006832
                  34,            0.041034,             0.01133,            0.013114,             0.95925,             0.99337,               0.995,             0.57138,            0.016572,           0.0045247,            0.003376,            0.006733,            0.006733,            0.006733
                  35,            0.035184,            0.011666,            0.015688,             0.98678,             0.96927,               0.995,             0.60463,            0.021906,           0.0042753,           0.0030357,            0.006634,            0.006634,            0.006634
                  36,            0.037882,            0.011723,            0.014842,             0.91403,              0.9047,             0.98389,             0.57785,            0.020843,           0.0042291,           0.0035721,            0.006535,            0.006535,            0.006535
                  37,            0.036076,            0.011112,             0.01028,             0.90998,             0.85404,             0.97595,             0.58628,            0.024162,           0.0041246,           0.0027962,            0.006436,            0.006436,            0.006436
                  38,             0.04327,             0.01138,            0.013638,             0.72136,             0.87055,             0.77917,             0.55623,            0.023014,            0.004724,           0.0024803,            0.006337,            0.006337,            0.006337
                  39,            0.039977,            0.010902,           0.0098002,             0.77329,             0.86088,             0.77317,             0.40499,            0.027033,           0.0052156,           0.0022945,            0.006238,            0.006238,            0.006238
                  40,            0.045909,            0.011292,            0.013302,             0.81917,             0.98811,               0.951,             0.56357,            0.021436,           0.0047092,           0.0016102,            0.006139,            0.006139,            0.006139
                  41,            0.037581,            0.011869,            0.016572,             0.80396,                   1,             0.87711,             0.59562,            0.016943,           0.0045986,           0.0023277,             0.00604,             0.00604,             0.00604
                  42,            0.035606,            0.011654,            0.011108,             0.96744,             0.97306,               0.995,             0.62011,            0.018311,            0.004724,             0.00354,            0.005941,            0.005941,            0.005941
                  43,            0.032779,            0.012262,           0.0090952,             0.82579,             0.99519,             0.95929,               0.654,            0.020581,           0.0046973,           0.0023582,            0.005842,            0.005842,            0.005842
                  44,            0.036686,            0.011299,            0.010853,             0.97126,             0.99927,               0.995,             0.64737,            0.019682,           0.0049071,           0.0017235,            0.005743,            0.005743,            0.005743
                  45,            0.038007,           0.0099286,            0.011153,             0.96322,             0.96882,               0.995,             0.68835,            0.014832,           0.0045996,           0.0016033,            0.005644,            0.005644,            0.005644
                  46,            0.034549,            0.011152,            0.013156,             0.87148,                   1,               0.995,             0.68017,            0.014951,           0.0044899,           0.0017319,            0.005545,            0.005545,            0.005545
